pizza_id,category_id,pizza_name,pizza_name_id,pizza_size,pizza_ingredients
1,1,The Hawaiian Pizza,hawaiian_m,M,"Sliced Ham, Pineapple, Mozzarella Cheese"
2,1,The Classic Deluxe Pizza,classic_dlx_m,M,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
3,2,The Five Cheese Pizza,five_cheese_l,L,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
4,2,The Mexicana Pizza,mexicana_m,M,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
5,3,The Italian Supreme Pizza,ital_supr_l,L,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
6,4,The Thai Chicken Pizza,thai_ckn_l,L,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
7,3,The Prosciutto and Arugula Pizza,prsc_argla_l,L,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
8,4,The Barbecue Chicken Pizza,bbq_ckn_s,S,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
9,1,The Greek Pizza,the_greek_s,S,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
10,3,The Spinach Supreme Pizza,spinach_supr_s,S,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
11,2,The Green Garden Pizza,green_garden_s,S,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
12,1,The Italian Capocollo Pizza,ital_cpcllo_l,L,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
13,3,The Spicy Italian Pizza,spicy_ital_l,L,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
14,2,The Spinach Pesto Pizza,spin_pesto_l,L,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
15,2,The Vegetables + Vegetables Pizza,veggie_veg_s,S,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
16,4,The Southwest Chicken Pizza,southw_ckn_l,L,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
17,4,The California Chicken Pizza,cali_ckn_l,L,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
18,1,The Pepperoni Pizza,pepperoni_l,L,"Mozzarella Cheese, Pepperoni"
19,4,The Chicken Pesto Pizza,ckn_pesto_l,L,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
20,1,The Big Meat Pizza,big_meat_s,S,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
21,3,The Soppressata Pizza,soppressata_l,L,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
22,2,The Four Cheese Pizza,four_cheese_l,L,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
23,1,The Napolitana Pizza,napolitana_s,S,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
24,3,The Calabrese Pizza,calabrese_m,M,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
25,2,The Italian Vegetables Pizza,ital_veggie_s,S,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
26,2,The Mediterranean Pizza,mediterraneo_m,M,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
27,3,The Pepper Salami Pizza,peppr_salami_s,S,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
28,2,The Spinach and Feta Pizza,spinach_fet_l,L,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
29,3,The Sicilian Pizza,sicilian_l,L,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
30,4,The Chicken Alfredo Pizza,ckn_alfredo_s,S,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce"
31,1,"The Pepperoni, Mushroom, and Peppers Pizza",pep_msh_pep_l,L,"Pepperoni, Mushrooms, Green Peppers"
32,3,The Brie Carre Pizza,brie_carre_s,S,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic"
